Linear_Setpoint,Linear_Velocity,Robot_Pixel,Robot_Pixel_Setpoint,Angular_Velocity
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.219505,320,320,0.00150376
0.22,0.21778899999999998,321,320,-0.00676692
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.219752,320,320,0.00075188
0.22,0.21754600000000002,321,320,-0.0075188
0.22,0.217304,321,320,-0.00827068
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.21754600000000002,319,320,0.0075188
0.22,0.22,320,320,7.3041e-18
0.22,0.22,320,320,7.3041e-18
0.22,0.217304,321,320,-0.00827068
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.219752,320,320,-0.00075188
0.22,0.21706199999999998,321,320,-0.00902256
0.22,0.216821,321,320,-0.00977444
0.22,0.21925799999999998,320,320,-0.00225564
0.22,0.21925799999999998,320,320,-0.00225564
0.22,0.21925799999999998,320,320,-0.00225564
0.22,0.21925799999999998,320,320,-0.00225564
0.22,0.21925799999999998,320,320,-0.00225564
0.22,0.21925799999999998,320,320,-0.00225564
0.22,0.21925799999999998,320,320,-0.00225564
0.22,0.21925799999999998,320,320,-0.00225564
0.22,0.21925799999999998,320,320,-0.00225564
0.22,0.21925799999999998,320,320,-0.00225564
0.22,0.21925799999999998,320,320,-0.00225564
0.22,0.21925799999999998,320,320,-0.00225564
0.22,0.21925799999999998,320,320,-0.00225564
0.22,0.21925799999999998,320,320,-0.00225564
0.22,0.21925799999999998,320,320,-0.00225564
0.22,0.21925799999999998,320,320,-0.00225564
0.22,0.21925799999999998,320,320,-0.00225564
0.22,0.21925799999999998,320,320,-0.00225564
0.22,0.21925799999999998,320,320,-0.00225564
0.22,0.21925799999999998,320,320,-0.00225564
0.22,0.21925799999999998,320,320,-0.00225564
0.22,0.21925799999999998,320,320,-0.00225564
0.22,0.186014,305,320,0.121805
