q_diag,r_diag,horizon,tolerance,dt_
0.5,0.5,100,0.2,0.2
X_Goal,Y_Goal,X_Pos,Y_Pos,Theta_Goal,Theta
-1,4,0.00229876,2.60126,-2.35619,2.11143
-1,4,-0.025793,2.64572,-2.35619,2.15509
-1,4,-0.0769738,2.71906,-2.35619,2.19358
-1,4,-0.124668,2.78715,-2.35619,2.15967
-1,4,-0.160928,2.84525,-2.35619,2.09212
-1,4,-0.204435,2.93468,-2.35619,1.94595
-1,4,-0.237742,3.0653,-2.35619,1.68938
-1,4,-0.239118,3.17429,-2.35619,1.47679
-1,4,-0.219146,3.2744,-2.35619,1.26424
-1,4,-0.176557,3.36656,-2.35619,0.998585
-1,4,-0.148055,3.40415,-2.35619,0.83919
-1,4,-0.113579,3.43564,-2.35619,0.626652
-1,4,-0.0892572,3.44997,-2.35619,0.414153
-1,4,-0.0804887,3.45318,-2.35619,0.148511
-1,4,-0.0938014,3.45295,-2.35619,-0.0639949
-1,4,-0.125056,3.45867,-2.35619,-0.276501
-1,4,-0.171529,3.47773,-2.35619,-0.489003
-1,4,-0.213439,3.50469,-2.35619,-0.648382
-1,4,-0.273344,3.56147,-2.35619,-0.860876
-1,4,-0.326835,3.63887,-2.35619,-1.07337
-1,4,-0.361655,3.72834,-2.35619,-1.32838
-1,4,-0.372765,3.80381,-2.35619,-1.52184
-1,4,-0.371538,3.85892,-2.35619,-1.66257
-1,4,-0.367774,3.888,-2.35619,-1.73395
-1,4,-0.365588,3.90002,-2.35619,-1.77139
-1,4,-0.364076,3.90628,-2.35619,-1.86551
-1,4,-0.3671,3.89976,-2.35619,-2.05906
-1,4,-0.384662,3.87498,-2.35619,-2.29142
-1,4,-0.412351,3.84841,-2.35619,-2.4472
-1,4,-0.456944,3.81626,-2.35619,-2.57644
-1,4,-0.485621,3.79926,-2.35619,-2.63373
-1,4,-0.523827,3.77936,-2.35619,-2.68712
-1,4,-0.570732,3.75804,-2.35619,-2.7455
-1,4,-0.613598,3.74096,-2.35619,-2.7796
-1,4,-0.644623,3.7296,-2.35619,-2.80105
-1,4,-0.686979,3.71525,-2.35619,-2.82865
-1,4,-0.711382,3.70756,-2.35619,-2.84414
-1,4,-0.728222,3.7025,-2.35619,-2.85512
-1,4,-0.75376,3.6952,-2.35619,-2.87197
-1,4,-0.776668,3.68906,-2.35619,-2.88799
-1,4,-0.796934,3.68397,-2.35619,-2.90288
-1,4,-0.814985,3.67971,-2.35619,-2.91692
-1,4,-0.828105,3.67678,-2.35619,-2.92763
-1,4,-0.840023,3.67425,-2.35619,-2.93791
-1,4,-0.850936,3.67205,-2.35619,-2.94757
-1,4,-0.863345,3.66969,-2.35619,-2.95901
-1,4,-0.872376,3.66806,-2.35619,-2.96748
-1,4,-0.880576,3.66665,-2.35619,-2.97523
-1,4,-0.889934,3.66512,-2.35619,-2.98398
-1,4,-0.898337,3.66381,-2.35619,-2.9914
-1,4,-0.902964,3.66312,-2.35619,-2.99511
-1,4,-0.909968,3.6621,-2.35619,-2.99969
-1,4,-0.916201,3.66122,-2.35619,-3.00191
-1,4,-0.921516,3.66047,-2.35619,-3.00051
-1,4,-0.925078,3.65996,-2.35619,-2.99566
-1,4,-0.928655,3.65941,-2.35619,-2.98163
-1,4,-0.936869,3.65797,-2.35619,-2.96648
-1,4,-0.952894,3.65518,-2.35619,-2.97079
-1,4,-0.95954,3.65391,-2.35619,-2.88835
-1,4,-0.955095,3.65553,-2.35619,-2.74903
-1,4,-0.938492,3.66481,-2.35619,-2.53961
-1,4,-0.924755,3.6755,-2.35619,-2.42905
-1,4,-0.910911,3.68864,-2.35619,-2.33745
-1,4,-0.897573,3.7036,-2.35619,-2.26539
-1,4,-0.882337,3.72326,-2.35619,-2.19804
-1,4,-0.868909,3.74292,-2.35619,-2.14485
-1,4,-0.857331,3.76168,-2.35619,-2.10472
-1,4,-0.847366,3.77918,-2.35619,-2.07306
-1,4,-0.840409,3.79218,-2.35619,-2.05207
-1,4,-0.835745,3.80126,-2.35619,-2.03858
-1,4,-0.82757,3.81794,-2.35619,-2.01535
-1,4,-0.822879,3.82796,-2.35619,-2.00217
-1,4,-0.816848,3.84137,-2.35619,-1.98533
-1,4,-0.81334,3.84945,-2.35619,-1.97548
-1,4,-0.811734,3.85322,-2.35619,-1.97097
-1,4,-0.808151,3.86182,-2.35619,-1.96115
-1,4,-0.805602,3.86807,-2.35619,-1.95438
-1,4,-0.802822,3.87503,-2.35619,-1.94769
-1,4,-0.800402,3.88119,-2.35619,-1.94304
-1,4,-0.798713,3.88553,-2.35619,-1.94109
-1,4,-0.796863,3.8903,-2.35619,-1.94129
-1,4,-0.795593,3.89356,-2.35619,-1.94422
-1,4,-0.7945,3.89632,-2.35619,-1.95013
-1,4,-0.793396,3.89904,-2.35619,-1.96312
-1,4,-0.792724,3.90063,-2.35619,-1.97956
-1,4,-0.792339,3.90149,-2.35619,-2.00445
-1,4,-0.790103,3.90581,-2.35619,-2.03807
-1,4,-0.786968,3.91229,-2.35619,-2.01123
-1,4,-0.783571,3.91961,-2.35619,-2.01178
-1,4,-0.78434,3.91826,-2.35619,-2.09987
-1,4,-0.786722,3.91456,-2.35619,-2.18701
-1,4,-0.792194,3.90761,-2.35619,-2.28515
-1,4,-0.797864,3.90151,-2.35619,-2.35245
-1,4,-0.804419,3.89528,-2.35619,-2.40951
-1,4,-0.809724,3.89068,-2.35619,-2.44645
-1,4,-0.815235,3.88624,-2.35619,-2.47977
-1,4,-0.824629,3.87926,-2.35619,-2.52507
-1,4,-0.832087,3.87413,-2.35619,-2.55458
-1,4,-0.839341,3.86943,-2.35619,-2.57956
-1,4,-0.844575,3.8662,-2.35619,-2.59553
-1,4,-0.851275,3.86221,-2.35619,-2.61424
-1,4,-0.857566,3.85861,-2.35619,-2.62993
-1,4,-0.86348,3.85534,-2.35619,-2.64338
-1,4,-0.86898,3.85238,-2.35619,-2.65467
-1,4,-0.87281,3.85037,-2.35619,-2.66175
-1,4,-0.877583,3.84791,-2.35619,-2.6697
-1,4,-0.882971,3.84519,-2.35619,-2.67702
-1,4,-0.886812,3.84327,-2.35619,-2.68072
-1,4,-0.889434,3.84197,-2.35619,-2.6822
-1,4,-0.891861,3.84077,-2.35619,-2.68265
-1,4,-0.895403,3.83902,-2.35619,-2.68056
-1,4,-0.898309,3.83757,-2.35619,-2.67447
-1,4,-0.899752,3.83683,-2.35619,-2.66856
-1,4,-0.901656,3.83585,-2.35619,-2.65411
-1,4,-0.902656,3.83531,-2.35619,-2.63764
-1,4,-0.90309,3.83507,-2.35619,-2.62181
-1,4,-0.90321,3.83501,-2.35619,-2.59471
-1,4,-0.902789,3.83528,-2.35619,-2.56075
-1,4,-0.901722,3.83602,-2.35619,-2.51992
-1,4,-0.900039,3.8373,-2.35619,-2.47347
-1,4,-0.897249,3.83967,-2.35619,-2.41078
-2,3,-0.900698,3.83656,-2.35619,-2.42616
-2,3,-0.915115,3.82481,-2.35619,-2.48693
-2,3,-0.938689,3.80792,-2.35619,-2.54967
-2,3,-0.985487,3.77933,-2.35619,-2.63294
-2,3,-1.06863,3.73847,-2.35619,-2.72423
-2,3,-1.14558,3.70481,-2.35619,-2.7223
-2,3,-1.22986,3.6644,-2.35619,-2.65874
-2,3,-1.32007,3.61097,-2.35619,-2.55156
-2,3,-1.4068,3.5472,-2.35619,-2.47128
-2,3,-1.46412,3.50002,-2.35619,-2.43665
-2,3,-1.51506,3.45565,-2.35619,-2.41461
-2,3,-1.5611,3.41406,-2.35619,-2.39969
-2,3,-1.6152,3.36373,-2.35619,-2.38592
-2,3,-1.66174,3.31957,-2.35619,-2.37921
-2,3,-1.70243,3.28054,-2.35619,-2.37503
-2,3,-1.73836,3.24583,-2.35619,-2.37225
-2,3,-1.76241,3.2225,-2.35619,-2.37082
-2,3,-1.77725,3.20808,-2.35619,-2.37008
-2,3,-1.79763,3.18824,-2.35619,-2.36927
-2,3,-1.81089,3.17532,-2.35619,-2.36876
-2,3,-1.83355,3.15321,-2.35619,-2.36793
-2,3,-1.8537,3.13352,-2.35619,-2.36747
-3,2,-1.87449,3.11319,-1.5708,-2.3673
-3,2,-1.90799,3.08041,-1.5708,-2.36708
-3,2,-1.95471,3.03469,-1.5708,-2.36686
-3,2,-1.99729,2.99281,-1.5708,-2.357
-3,2,-2.04245,2.94594,-1.5708,-2.31272
-3,2,-2.08863,2.89178,-1.5708,-2.23877
-3,2,-2.1346,2.82785,-1.5708,-2.14575
-3,2,-2.18886,2.73386,-1.5708,-2.05564
-3,2,-2.23711,2.63644,-1.5708,-2.01219
-3,2,-2.28184,2.53909,-1.5708,-1.99191
-3,2,-2.31185,2.47157,-1.5708,-1.98608
-3,2,-2.33832,2.41134,-1.5708,-1.98602
-3,2,-2.37055,2.33897,-1.5708,-1.994
-3,2,-2.38522,2.30659,-1.5708,-1.99892
-3,2,-2.41287,2.24686,-1.5708,-2.00987
-3,2,-2.43776,2.19464,-1.5708,-2.02197
-3,2,-2.45486,2.15978,-1.5708,-2.03197
-3,2,-2.47119,2.12734,-1.5708,-2.04212
-3,2,-2.49122,2.08864,-1.5708,-2.05542
-3,2,-2.50942,2.05458,-1.5708,-2.06786
-3,2,-2.52195,2.03174,-1.5708,-2.07781
-3,2,-2.53371,2.01081,-1.5708,-2.08763
-3,2,-2.54476,1.99159,-1.5708,-2.0974
-3,2,-2.55988,1.96598,-1.5708,-2.1099
-3,2,-2.57346,1.94353,-1.5708,-2.12176
-3,2,-2.58475,1.92543,-1.5708,-2.13513
-3,2,-2.59522,1.90912,-1.5708,-2.14795
-3,2,-2.6073,1.89086,-1.5708,-2.16343
-3,2,-2.6141,1.88086,-1.5708,-2.17249
-3,2,-2.62043,1.87172,-1.5708,-2.18104
-3,2,-2.62839,1.86047,-1.5708,-2.19212
-3,2,-2.63583,1.85019,-1.5708,-2.20285
-3,2,-2.64104,1.84312,-1.5708,-2.2106
-3,2,-2.64908,1.83246,-1.5708,-2.22255
-3,2,-2.65501,1.82475,-1.5708,-2.23154
-3,2,-2.66054,1.8177,-1.5708,-2.23998
-3,2,-2.66448,1.81275,-1.5708,-2.24607
-3,2,-2.66822,1.8081,-1.5708,-2.25173
-3,2,-2.674,1.80103,-1.5708,-2.26015
-3,2,-2.67824,1.79592,-1.5708,-2.26582
-3,2,-2.68116,1.79242,-1.5708,-2.26926
-3,2,-2.6848,1.78811,-1.5708,-2.27277
-3,2,-2.68808,1.78424,-1.5708,-2.27466
-3,2,-2.69103,1.78076,-1.5708,-2.27428
-3,2,-2.6936,1.77772,-1.5708,-2.27076
-3,2,-2.69471,1.7764,-1.5708,-2.26756
-3,2,-2.6962,1.77461,-1.5708,-2.25957
-3,2,-2.6978,1.77264,-1.5708,-2.23215
-3,2,-2.7063,1.76151,-1.5708,-2.22598
-3,2,-2.71157,1.75451,-1.5708,-2.18531
-3,2,-2.71231,1.75353,-1.5708,-2.067
-3,2,-2.70856,1.76242,-1.5708,-1.9064
-3,2,-2.70632,1.76979,-1.5708,-1.83202
-3,2,-2.70349,1.78317,-1.5708,-1.73252
-3,2,-2.70117,1.80935,-1.5708,-1.59688
-3,2,-2.70157,1.83202,-1.5708,-1.51308
-3,2,-2.70307,1.84885,-1.5708,-1.4578
-3,2,-2.70627,1.87127,-1.5708,-1.40334
-3,2,-2.71035,1.89253,-1.5708,-1.36008
-3,2,-2.71377,1.90749,-1.5708,-1.33377
-3,2,-2.71861,1.92627,-1.5708,-1.30348
-3,2,-2.72107,1.93499,-1.5708,-1.29075
-3,2,-2.72605,1.95157,-1.5708,-1.26748
-3,2,-2.73089,1.96652,-1.5708,-1.24836
-3,2,-2.73556,1.9801,-1.5708,-1.23188
-3,2,-2.74,1.99241,-1.5708,-1.21742
-3,2,-2.74417,2.00349,-1.5708,-1.20482
-3,2,-2.7481,2.01358,-1.5708,-1.19342
-3,2,-2.75179,2.02276,-1.5708,-1.18309
-3,2,-2.75354,2.02701,-1.5708,-1.17831
-3,2,-2.75681,2.0348,-1.5708,-1.16973
-3,2,-2.75983,2.04184,-1.5708,-1.16214
-3,2,-2.76261,2.04821,-1.5708,-1.15551
-3,2,-2.76517,2.05396,-1.5708,-1.14995
-3,2,-2.76694,2.0579,-1.5708,-1.14653
-3,2,-2.76963,2.06383,-1.5708,-1.14242
-3,2,-2.77111,2.06705,-1.5708,-1.1411
-3,2,-2.77243,2.06993,-1.5708,-1.14096
-3,2,-2.77439,2.07422,-1.5708,-1.1431
-3,2,-2.77601,2.0778,-1.5708,-1.14939
-3,2,-2.77679,2.07956,-1.5708,-1.15659
-3,2,-2.77759,2.08142,-1.5708,-1.17058
-3,2,-2.77809,2.08263,-1.5708,-1.19123
-3,2,-2.77827,2.08309,-1.5708,-1.22209
-3,2,-2.77822,2.08299,-1.5708,-1.24267
-3,2,-2.778,2.08229,-1.5708,-1.28145
-3,2,-2.77759,2.08081,-1.5708,-1.33003
-3,2,-2.77693,2.07759,-1.5708,-1.40662
-3,2,-2.77627,2.07236,-1.5708,-1.48364
-3,2,-2.77597,2.06742,-1.5708,-1.53717
-3,2,-2.77603,2.0578,-1.5708,-1.61492
-3,2,-2.77643,2.0515,-1.5708,-1.65472
-3,2,-2.77684,2.04718,-1.5708,-1.67862
-3,2,-2.77797,2.03845,-1.5708,-1.72167
-3,2,-2.77946,2.02973,-1.5708,-1.75777
-3,2,-2.7812,2.02125,-1.5708,-1.78758
-3,2,-2.78262,2.01507,-1.5708,-1.80743
-3,2,-2.78462,2.00716,-1.5708,-1.83054
-3,2,-2.78666,1.99977,-1.5708,-1.84944
-3,2,-2.78869,1.99287,-1.5708,-1.86544
-3,2,-2.78969,1.98962,-1.5708,-1.87243
-3,2,-2.79118,1.98492,-1.5708,-1.88211
-3,2,-2.79307,1.97915,-1.5708,-1.89287
-3,2,-2.7953,1.97258,-1.5708,-1.90371
-3,2,-2.79655,1.96897,-1.5708,-1.90885
-3,2,-2.79735,1.96672,-1.5708,-1.91159
-3,2,-2.79811,1.96459,-1.5708,-1.9138
-3,2,-2.79954,1.9606,-1.5708,-1.91705
-3,2,-2.80053,1.95786,-1.5708,-1.91824
